Harga,Lokasi,LT,LB,Kamar,Kamar Mandi,Carport
Rp 542 Juta,"Grand Wisata, Bekasi",67 m²,47 m²,2,1,
Rp 800 Juta,"Harapan Indah, Bekasi",102 m²,210 m²,4,3,
"Rp 1,13 Miliar","Bekasi Timur, Bekasi",180 m²,220 m²,4,3,
Rp 800 Juta,"Bekasi, Bekasi",65 m²,58 m²,2,2,
Rp 890 Juta,"Jati Asih, Bekasi",84 m²,60 m²,2,1,
Rp 420 Juta,"Cikarang, Bekasi",72 m²,45 m²,2,1,
"Rp 1,3 Miliar","Jatibening, Bekasi",60 m²,54 m²,2,2,1
Rp 420 Juta,"Bekasi Utara, Bekasi",60 m²,50 m²,2,1,
Rp 550 Juta,"Pondokmelati, Bekasi",60 m²,40 m²,2,1,
"Rp 1,13 Miliar","Summarecon Bekasi, Bekasi",97 m²,93 m²,3,2,
Rp 890 Juta,"Galaxy, Bekasi",135 m²,80 m²,2,2,
Rp 710 Juta,"Tarumajaya, Bekasi",90 m²,60 m²,2,1,
"Rp 1,6 Miliar","Cibubur, Bekasi",72 m²,82 m²,3,2,1
"Rp 1,35 Miliar","Kota Legenda, Bekasi",220 m²,155 m²,3,2,1
"Rp 1,98 Miliar","Summarecon Crown Gading, Bekasi",91 m²,80 m²,3,2,2
"Rp 7,9 Miliar","Kemang Pratama, Bekasi",681 m²,578 m²,6,4,2
Rp 15 Miliar,"Jaka Sampurna, Bekasi",1200 m²,745 m²,6,7,10
Rp 740 Juta,"Cikunir, Bekasi",90 m²,70 m²,3,2,2
"Rp 1,35 Miliar","Jatiwarna, Bekasi",100 m²,100 m²,4,2,2
"Rp 1,1 Miliar","Tambun Selatan, Bekasi",64 m²,72 m²,3,3,1
"Rp 1,15 Miliar","Pondok Gede, Bekasi",78 m²,96 m²,3,3,2
"Rp 1,4 Miliar","Jatiwaringin, Bekasi",105 m²,140 m²,4,4,2
Rp 800 Juta,"Babelan, Bekasi",72 m²,56 m²,3,1,1
"Rp 1,95 Miliar","Rawalumbu, Bekasi",153 m²,232 m²,4,4,1
"Rp 1,1 Miliar","Bekasi Kota, Bekasi",64 m²,72 m²,3,3,1
"Rp 1,1 Miliar","Cibitung, Bekasi",64 m²,72 m²,3,3,1
"Rp 1,1 Miliar","Jababeka, Bekasi",64 m²,72 m²,3,3,1
"Rp 1,1 Miliar","Komsen, Bekasi",99 m²,100 m²,4,2,2
Rp 800 Juta,"Pekayon, Bekasi",86 m²,80 m²,3,2,2
Rp 888 Juta,"Jati Rasa, Bekasi",88 m²,80 m²,3,2,2
Rp 800 Juta,"Duta Harapan, Bekasi",72 m²,67 m²,3,1,1
"Rp 1,1 Miliar","Jaka Setia, Bekasi",99 m²,100 m²,3,2,2
Rp 890 Juta,"Mustikajaya, Bekasi",117 m²,145 m²,4,2,
Rp 550 Juta,"Jati Rahayu, Bekasi",113 m²,200 m²,3,1,1
Rp 525 Juta,"Cikarang Utara, Bekasi",60 m²,12 m²,2,2,1
"Rp 1,07 Miliar","Medan Satria, Bekasi",75 m²,100 m²,3,2,
"Rp 1,15 Miliar","Jati Asih, Bekasi",78 m²,96 m²,3,3,2
"Rp 1,15 Miliar","Jatibening, Bekasi",78 m²,96 m²,3,3,2
Rp 720 Juta,"Grand Wisata, Bekasi",108 m²,80 m²,3,2,
Rp 390 Juta,"Harapan Indah, Bekasi",60 m²,40 m²,2,1,
Rp 420 Juta,"Harapan Indah, Bekasi",60 m²,50 m²,2,1,
Rp 1 Miliar,"Jati Asih, Bekasi",125 m²,95 m²,2,3,
Rp 700 Juta,"Harapan Indah, Bekasi",60 m²,45 m²,3,1,
Rp 870 Juta,"Harapan Indah, Bekasi",77 m²,50 m²,3,2,
